Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
12.Rodovia do Aço;Sep-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;9748
12.Rodovia do Aço;Sep-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;9723
12.Rodovia do Aço;Oct-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;10114
12.Rodovia do Aço;Oct-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;10088
12.Rodovia do Aço;Nov-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;9972
12.Rodovia do Aço;Nov-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;9945
12.Rodovia do Aço;Dec-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;10328
12.Rodovia do Aço;Dec-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;10301
12.Rodovia do Aço;Jan-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5395
12.Rodovia do Aço;Jan-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;4804
12.Rodovia do Aço;Feb-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5414
12.Rodovia do Aço;Feb-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;4820
12.Rodovia do Aço;Mar-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;6291
12.Rodovia do Aço;Mar-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5601
12.Rodovia do Aço;Apr-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5969
12.Rodovia do Aço;Apr-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5314
12.Rodovia do Aço;May-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;6565
12.Rodovia do Aço;May-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5845
12.Rodovia do Aço;Jun-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5696
12.Rodovia do Aço;Jun-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5071
12.Rodovia do Aço;Jul-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5923
12.Rodovia do Aço;Jul-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5274
12.Rodovia do Aço;Aug-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;6177
12.Rodovia do Aço;Aug-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5499
12.Rodovia do Aço;Sep-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5692
12.Rodovia do Aço;Sep-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5068
12.Rodovia do Aço;Oct-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5898
12.Rodovia do Aço;Oct-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5251
12.Rodovia do Aço;Nov-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5708
12.Rodovia do Aço;Nov-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5082
12.Rodovia do Aço;Dec-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5895
12.Rodovia do Aço;Dec-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;5249
12.Rodovia do Aço;Jan-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1978
12.Rodovia do Aço;Jan-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1889
12.Rodovia do Aço;Feb-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1819
12.Rodovia do Aço;Feb-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1737
12.Rodovia do Aço;Mar-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1770
12.Rodovia do Aço;Mar-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1691
12.Rodovia do Aço;Apr-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1936
12.Rodovia do Aço;Apr-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1849
12.Rodovia do Aço;May-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;2001
12.Rodovia do Aço;May-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1912
12.Rodovia do Aço;Jun-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1869
12.Rodovia do Aço;Jun-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1786
12.Rodovia do Aço;Jul-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1968
12.Rodovia do Aço;Jul-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1880
12.Rodovia do Aço;Aug-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1976
12.Rodovia do Aço;Aug-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1887
12.Rodovia do Aço;Sep-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1950
12.Rodovia do Aço;Sep-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1862
12.Rodovia do Aço;Oct-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;2190
12.Rodovia do Aço;Oct-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;2092
12.Rodovia do Aço;Nov-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1778
12.Rodovia do Aço;Nov-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;1698
